population,x,y
1.000000000000000,-90.1130288151,29.4187959268
1.000000000000000,-90.1466346910,29.4269801722
1.000000000000000,-90.1418489024,29.4193499559
1.000000000000000,-90.1226743994,29.4039055569
1.000000000000000,-90.1129878032,29.4338704648
1.000000000000000,-90.1081637579,29.4413141200
1.000000000000000,-90.1033815743,29.4336837949
1.000000000000000,-90.1418116508,29.4344264336
1.000000000000000,-90.1369881960,29.4418720694
1.000000000000000,-90.1465980616,29.4420567047
1.000000000000000,-90.1226346511,29.4189812765
1.000000000000000,-90.1370260793,29.4267961829
1.000000000000000,-90.1225948925,29.4340564614
1.000000000000000,-90.1322028418,29.4342417844
1.000000000000000,-90.1274183269,29.4266115199
1.000000000000000,-90.0892164946,29.3504948884
1.000000000000000,-90.1035083359,29.3884605212
1.000000000000000,-90.2187402322,29.4207977146
1.000000000000000,-90.1946299038,29.4580489837
1.000000000000000,-90.2138911523,29.4433302635
1.000000000000000,-90.1898995550,29.4202598633
1.000000000000000,-90.1850777224,29.4277093888
1.000000000000000,-90.1371775138,29.3664872992
1.000000000000000,-90.1323952674,29.3588572998
1.000000000000000,-90.1900233931,29.3599357169
1.000000000000000,-90.1612054727,29.3593995351
1.000000000000000,-90.1708105895,29.3595789352
1.000000000000000,-90.1467079211,29.3968255015
1.000000000000000,-90.1611013239,29.4046376368
1.000000000000000,-90.1323183273,29.3890126877
1.000000000000000,-90.1275356769,29.3813825933
1.000000000000000,-90.1803521529,29.3899195083
1.000000000000000,-90.1563855701,29.3668494357
1.000000000000000,-90.1515652531,29.3742987132
1.000000000000000,-90.1611707655,29.3744794318
1.000000000000000,-90.0273455514,29.2060805796
62.000000000000000,-90.0225292211,29.2135270784
183.000000000000000,-89.9984972578,29.2356772650
29.000000000000000,-89.9937355638,29.2280476803
133.000000000000000,-89.9840992566,29.2429337056
2.000000000000000,-89.9793388367,29.2353040746
26.000000000000000,-89.9936790903,29.2431206271
133.000000000000000,-89.9889176157,29.2354910030
35.000000000000000,-90.0081323592,29.2207886813
2.000000000000000,-90.0224765009,29.2286024886
118.000000000000000,-90.0177124795,29.2209729583
2.000000000000000,-90.0080777624,29.2358628604
192.000000000000000,-90.0033150141,29.2282332830
49.000000000000000,-90.0128953266,29.2284182191
1.000000000000000,-90.1230316673,29.2682003586
71.000000000000000,-90.0369261476,29.2062628721
13.000000000000000,-90.0465076043,29.2064444980
11.000000000000000,-90.0417418736,29.1988150961
51.000000000000000,-90.0753029757,29.1919056275
1.000000000000000,-90.0609052601,29.1991763637
9.000000000000000,-90.0704882425,29.1993559971
1.000000000000000,-90.0657201874,29.1917266525
66.000000000000000,-90.0321100102,29.2137100298
5.000000000000000,-90.0272934613,29.2211565687
98.000000000000000,-90.0560899211,29.2066254570
31.000000000000000,-90.0512741703,29.2140739321
1.000000000000000,-89.9838104326,29.3182874855
1.000000000000000,-89.9933965016,29.3184776680
21.000000000000000,-89.9792804865,29.2503757879
2.000000000000000,-89.9744613054,29.2578172494
32.000000000000000,-89.9745202863,29.2427461177
5.000000000000000,-89.9601230276,29.2499986264
24.000000000000000,-89.9697013250,29.2501875403
3.000000000000000,-89.9456631070,29.2723171881
1.000000000000000,-89.9408423121,29.2797554652
1.000000000000000,-89.9887462589,29.2807065651
37.000000000000000,-89.9553034647,29.2574387684
24.000000000000000,-89.9648819529,29.2576283421
16.000000000000000,-89.9504834912,29.2648782891
62.000000000000000,-89.9600621699,29.2650685227
1.000000000000000,-90.0032597869,29.2433068818
1.000000000000000,-89.3140893856,29.3934537655
1.000000000000000,-89.3092510306,29.4008429377
1.000000000000000,-89.3044122732,29.4082314757
1.000000000000000,-89.3532873153,29.7924456907
1.000000000000000,-89.3335813127,29.8519554979
1.000000000000000,-89.5068564904,29.7513929645
1.000000000000000,-89.4490157086,29.7949698150
1.000000000000000,-89.4972779902,29.7511495696
2.000000000000000,-89.2026416598,29.1202217160
1.000000000000000,-89.2024827993,29.1352423492
5.000000000000000,-89.1976532241,29.1426336416
1.000000000000000,-89.1928232499,29.1500243082
1.000000000000000,-89.2498405610,29.1514436611
2.000000000000000,-89.2213278790,29.1507369066
1.000000000000000,-89.2308312121,29.1509731410
1.000000000000000,-89.3024996808,29.1151550909
1.000000000000000,-89.2013696203,29.2403728781
1.000000000000000,-89.1965356089,29.2477600390
1.000000000000000,-89.1917011978,29.2551465702
1.000000000000000,-89.2391020055,29.2713736211
1.000000000000000,-89.3061624217,29.2279701757
1.000000000000000,-89.2591949902,29.1667016689
7.000000000000000,-89.2590433650,29.1817248944
2.000000000000000,-89.2543651432,29.1740957737
1.000000000000000,-89.2685527276,29.1819598860
1.000000000000000,-89.2637224142,29.1893540669
1.000000000000000,-89.1651452621,29.0742138875
1.000000000000000,-89.1789787896,29.1121188002
6.000000000000000,-89.1752863116,29.0143655660
4.000000000000000,-89.1657993606,29.0141315751
1.000000000000000,-89.0697485218,29.1168473263
1.000000000000000,-89.0838915778,29.1247210412
1.000000000000000,-89.0695725371,29.1318584004
1.000000000000000,-89.0649173046,29.1242298963
1.000000000000000,-89.0933800648,29.1249656448
1.000000000000000,-89.0982107998,29.1175810790
1.000000000000000,-89.0980384805,29.1325942069
1.000000000000000,-89.0890694216,29.0873107864
1.000000000000000,-89.1929833767,29.1350048480
1.000000000000000,-89.1736620246,29.1645636023
1.000000000000000,-89.2956169317,29.3328925205
1.000000000000000,-89.2437824974,29.2790032852
1.000000000000000,-89.2768682256,29.3023727390
1.000000000000000,-89.2863892084,29.3026118461
1.000000000000000,-89.2862409196,29.3176325390
3.000000000000000,-89.0450508661,29.1987767986
3.000000000000000,-89.0402157618,29.2061544564
1.000000000000000,-89.1211735192,29.1857509777
1.000000000000000,-89.1305022606,29.2010090177
5.000000000000000,-89.6096744187,29.4457237688
88.000000000000000,-89.6430984099,29.4540187683
86.000000000000000,-89.6526653265,29.4542388601
1.000000000000000,-89.6478309627,29.4616495372
20.000000000000000,-89.6240718978,29.4385365682
6.000000000000000,-89.6383666921,29.4463880307
8.000000000000000,-89.6239672213,29.4535765912
34.000000000000000,-89.6192376276,29.4459458534
10.000000000000000,-89.6335323747,29.4537980119
49.000000000000000,-89.6288017189,29.4461672741
1.000000000000000,-89.6237577865,29.4836550233
2.000000000000000,-89.6286976499,29.4612073608
1.000000000000000,-89.6285935537,29.4762469091
1.000000000000000,-89.6238625176,29.4686160769
42.000000000000000,-89.7145465149,29.5083111109
20.000000000000000,-89.7098046991,29.5006801733
31.000000000000000,-89.7432827662,29.5089613510
48.000000000000000,-89.7431935280,29.5240072138
32.000000000000000,-89.7384479142,29.5163762296
34.000000000000000,-89.7241243868,29.5085285251
157.000000000000000,-89.7193815087,29.5008975907
1.000000000000000,-89.7526872665,29.5392692599
4.000000000000000,-89.7335221448,29.5388351303
3.000000000000000,-89.7192891673,29.5159420758
59.000000000000000,-89.7336126529,29.5237904747
50.000000000000000,-89.7288681015,29.5161594866
34.000000000000000,-89.6669678009,29.4620890544
72.000000000000000,-89.6622331242,29.4544582872
72.000000000000000,-89.6765375410,29.4623078153
5.000000000000000,-89.6718018024,29.4546770493
175.000000000000000,-89.7050637195,29.4930492635
60.000000000000000,-89.7003235761,29.4854183819
55.000000000000000,-89.7146394669,29.4932666839
34.000000000000000,-89.7098982615,29.4856358050
46.000000000000000,-89.6861081612,29.4625259107
1.000000000000000,-89.7004183587,29.4703741329
58.000000000000000,-89.6812741150,29.4699386114
58.000000000000000,-89.6955842686,29.4777875290
1.000000000000000,-89.6908457971,29.4701567051
1.000000000000000,-89.6903654114,29.5453692028
1.000000000000000,-89.6857214639,29.5226967639
1.000000000000000,-89.9493004422,29.5510941032
1.000000000000000,-90.0020411342,29.5747933337
3.000000000000000,-90.0261440340,29.5526963462
1.000000000000000,-90.0163208341,29.6127476954
1.000000000000000,-90.0211540148,29.6053172067
1.000000000000000,-90.0262488005,29.5225670879
6.000000000000000,-90.0214721996,29.5149363655
1.000000000000000,-89.9010265888,29.6102888101
1.000000000000000,-89.9153980756,29.6181285901
6.000000000000000,-89.9009578305,29.6253419112
39.000000000000000,-89.8961906935,29.6177107076
1.000000000000000,-89.9105621478,29.6255511793
1.000000000000000,-89.9057939484,29.6179199856
1.000000000000000,-89.9585968113,29.6265874092
2.000000000000000,-89.9393803323,29.6261749401
17.000000000000000,-89.9537614255,29.6340126799
38.000000000000000,-89.9489881364,29.6263815119
2.000000000000000,-89.9104946243,29.6406043721
5.000000000000000,-89.9057258074,29.6329731329
75.000000000000000,-89.9393165684,29.6412300913
1.000000000000000,-89.9536995341,29.6490685273
5.000000000000000,-89.9489256263,29.6414373152
86.000000000000000,-89.9344801646,29.6486534274
84.000000000000000,-89.9440894137,29.6488613148
3.000000000000000,-89.9201673375,29.6257597736
1.000000000000000,-89.9345445636,29.6335988842
20.000000000000000,-89.9297733992,29.6259676939
11.000000000000000,-89.9201010670,29.6408136195
11.000000000000000,-89.9153311873,29.6331823907
15.000000000000000,-89.9297083818,29.6410221926
2.000000000000000,-89.9249374396,29.6333909746
3.000000000000000,-89.8820367525,29.5647108328
40.000000000000000,-89.8868707099,29.5572878114
2.000000000000000,-89.8962600689,29.6026576532
2.000000000000000,-89.8818230769,29.6098695616
1.000000000000000,-89.8914243964,29.6100795224
1.000000000000000,-89.8626968049,29.5943965788
1.000000000000000,-89.8579351507,29.5867654343
19.000000000000000,-89.9058620716,29.6028662774
3.000000000000000,-89.9010953291,29.5952351491
3.000000000000000,-89.9154649465,29.6030742285
30.000000000000000,-89.9106971419,29.5954431100
3.000000000000000,-89.9824769750,29.6647433487
106.000000000000000,-89.9633105253,29.6492750647
1.000000000000000,-89.9681463542,29.6418497383
3.000000000000000,-90.0065432496,29.6577256239
1.000000000000000,-90.0161596503,29.6579287693
7.000000000000000,-89.9540706395,29.5587250351
1.000000000000000,-89.9636741104,29.5589276619
2.000000000000000,-89.9538851596,29.6038992974
2.000000000000000,-89.9443418959,29.5886371620
1.000000000000000,-89.9827094569,29.6045110215
1.000000000000000,-89.7821991978,29.4044643308
1.000000000000000,-89.7774542315,29.3968338444
1.000000000000000,-89.7677949212,29.4116765989
1.000000000000000,-89.7630512391,29.4040460754
1.000000000000000,-89.7726247809,29.4042555361
1.000000000000000,-89.7918573196,29.3896189936
1.000000000000000,-89.7870284633,29.3970419765
3.000000000000000,-89.7672787307,29.5019746666
8.000000000000000,-89.7671926203,29.5170224509
15.000000000000000,-89.7624446573,29.5093915058
4.000000000000000,-89.7720269186,29.5096055810
14.000000000000000,-89.7766061502,29.5473317656
1.000000000000000,-89.7623579122,29.5244386875
76.000000000000000,-89.7622711445,29.5394853217
96.000000000000000,-89.7575227943,29.5318542906
51.000000000000000,-89.7718559001,29.5397007148
20.000000000000000,-89.7671064875,29.5320696886
1.000000000000000,-89.7388071722,29.4561897491
8.000000000000000,-89.7576975311,29.5017605869
1.000000000000000,-89.7673648186,29.4869263379
1.000000000000000,-89.8058555294,29.4576697899
1.000000000000000,-89.7993862017,29.7660147687
1.000000000000000,-89.8089932253,29.7662373385
1.000000000000000,-89.7946243848,29.7583830646
24.000000000000000,-89.7897800574,29.7657915241
13.000000000000000,-89.7850193068,29.7581598112
4.000000000000000,-89.7557703942,29.8326679621
3.000000000000000,-89.7510106095,29.8250360543
